lon	lat
11.3987365874669	-54.0046678697785
10.9698757456654	-54.0145849896548
10.7842978675626	-54.1674068011143
10.6782773603296	-54.2147644234171
10.1120403109126	-54.3466545426368
9.54137807991666	-54.4753419887634
8.96635312543136	-54.6007813033094
8.38703237865949	-54.7229275568583
7.80348728698898	-54.8417364025923
7.09474916761103	-54.9659076514173
6.85246977055379	-54.9829541457189
6.232442405112	-54.9532042875188
5.84361391467884	-54.835784020915
4.74346356882291	-54.8241805021613
4.01630390949195	-54.8563250699042
3.0512582545657	-54.9609750737239
2.80756508380094	-54.9681500190851
2.19323457637555	-54.9133381608412
1.827968244305	-54.9207247954767
1.34357792280859	-54.9986640410814
0.612111107869305	-55.0760702871655
-0.122688847839079	-55.1481236015717
-0.860601489833936	-55.2147822048927
-1.35513129102215	-55.2796350315253
-1.85158941589535	-55.3420632134914
-2.34991219104649	-55.402050241375
-2.72631099390627	-55.4630037674896
-3.10410583683125	-55.5225662086561
-3.48327146899767	-55.5807284481397
-4.23639479905884	-55.6225553772227
-4.99133325752452	-55.6587747594133
-5.74783042396807	-55.6893645398054
-5.89754846543764	-55.8224664890271
-6.16006050536539	-55.8777871111084
-6.42347043655657	-55.9324449572653
-6.68777168194926	-55.9864359664715
-6.95295746817392	-56.0397561023748
-7.21902082486966	-56.092401354327
-7.48595458408501	-56.1443677384198
-7.75375137976509	-56.1956512985269
-7.91416450904765	-56.3260474504371
-8.18417196331425	-56.3762566533607
-8.58124090094326	-56.4152933019412
-8.97926806374959	-56.4528083816293
-9.37821837189882	-56.488795577962
-9.7780562246539	-56.5232488078055
-10.1787455169806	-56.5561622234866
-10.5802496568434	-56.5875302167941
-10.9825315831758	-56.6173474228447
-11.3855537845047	-56.6456087238059
-11.7892783182099	-56.6723092524716
-12.0677689586533	-56.7123296215643
-12.3469613632781	-56.7516116047437
-12.6268448798135	-56.7901519528087
-12.9074086712658	-56.8279474633821
-13.1886417174135	-56.8649949819283
-13.470532816414	-56.901291402765
-14.2560070239624	-56.8681980080994
-15.0396794233732	-56.8292268794062
-15.8212641060971	-56.784403337495
-16.0165928565274	-56.901291402765
-16.3017083443074	-56.9299301669888
-16.4997385175152	-57.0459983544452
-16.7866043180259	-57.0733383751836
-17.0739660299459	-57.0998983995706
-17.3618104467193	-57.1256761096262
-17.6501242199301	-57.1506692486793
-18.3112000315156	-57.1086228924097
-18.9704078084865	-57.0624474401614
-19.6275817181266	-57.0121640874774
-19.9164059938091	-57.0309288184571
-20.2055700885527	-57.0489004065781
-20.4950598466451	-57.0660772638633
-20.7848610139685	-57.082457869408
-21.1219488250461	-57.1642674786776
-21.4608016460138	-57.2450268056781
-21.7280161283136	-57.4170819080537
-22.0216826495727	-57.430079650317
-22.2434598798446	-57.5350279019505
-22.5384500408281	-57.5466047492439
-22.7628232885516	-57.6505278626726
-23.0591001513511	-57.6606702729202
-23.1811700886717	-57.6327261174382
-23.493301455137	-57.4828710606014
-23.6293777306568	-57.295746729428
-24.0552219471531	-57.1159762756709
-24.186350913288	-56.928485470469
-25.3034861726678	-56.5675645905616
-26.2236702346526	-56.3215731658723
-27.2995722113328	-56.0983176045488
-27.5283909066796	-56.1911982430901
