# depth_[cm]	time_[kyBP]	MLR_POC_flux_[mol/m2/y]	MLR_PIC:POC_[mol:mol]	PLSR_POC_flux_[mol/m2/y]	PLSR_PIC:POC_[mol:mol]	GBR_POC_flux_[mol/m2/y]	GBR_PIC:POC_[mol:mol]
9.720	49.277	0.240	0.480	0.204	0.515	0.147	0.376
9.820	49.781	0.180	0.508	0.129	0.355	0.105	0.408
9.920	50.284	0.344	0.124	0.244	0.090	0.263	0.211
10.020	50.788	0.245	0.234	0.266	0.339	0.237	0.142
10.120	51.292	0.208	0.405	0.258	0.354	0.327	0.293
10.220	51.796	0.165	0.478	0.197	0.517	0.228	0.431
10.320	52.300	0.123	0.406	0.150	0.426	0.069	0.392
10.420	52.804	0.282	0.491	0.173	0.464	0.139	0.213
10.520	53.307	0.096	0.761	0.112	0.863	0.146	0.594
10.620	53.811	0.213	0.604	0.171	0.650	0.169	0.352
10.720	54.315	0.140	0.649	0.073	0.665	0.113	0.390
10.820	54.819	0.122	0.742	0.090	0.676	0.117	0.658
10.920	55.323	0.146	0.650	0.198	0.640	0.097	0.550
11.020	55.827	0.075	1.001	0.026	0.965	0.105	0.655
11.120	56.330	0.106	0.690	0.140	0.863	0.089	0.381
11.220	56.834	0.098	0.823	0.059	0.823	0.105	0.667
11.320	57.338	0.187	0.532	0.138	0.635	0.087	0.358
11.420	57.842	-0.052	1.070	0.031	1.030	0.123	0.942
11.520	58.346	0.066	1.014	0.058	0.996	0.118	0.956
11.620	58.850	0.121	0.756	0.177	0.764	0.124	0.397
11.720	59.353	0.076	1.110	0.121	0.998	0.121	1.054
11.820	59.857	0.096	0.817	0.120	1.115	0.118	0.728
11.920	60.361	0.045	0.988	0.088	0.933	0.087	0.732
12.020	60.865	0.065	0.898	0.235	0.886	0.229	0.700
12.120	61.369	0.250	0.726	0.167	0.663	0.206	0.387
12.220	61.873	0.190	0.601	0.308	0.706	0.291	0.440
12.320	62.376	0.209	0.697	0.192	0.874	0.230	0.423
12.420	62.880	0.152	0.828	0.170	0.847	0.191	0.570
12.520	63.384	0.267	0.578	0.187	0.714	0.247	0.373
12.620	64.027	0.268	0.200	0.218	0.171	0.286	0.322
12.720	64.670	0.326	0.316	0.246	0.415	0.348	0.399
12.820	65.313	0.161	0.481	0.291	0.441	0.282	0.417
12.920	65.956	0.244	0.337	0.342	0.388	0.337	0.239
13.020	66.599	0.322	0.184	0.196	0.067	0.330	0.194
13.120	67.242	0.380	0.030	0.246	0.176	0.297	0.213
13.220	67.886	0.248	0.493	0.223	0.611	0.345	0.419
13.310	68.464	0.302	0.010	0.283	0.301	0.268	0.430
13.420	69.172	0.284	0.163	0.192	0.318	0.278	0.480
13.520	69.815	0.361	0.212	0.309	0.180	0.342	0.215
13.620	70.458	0.143	0.688	0.228	0.600	0.276	0.621
13.720	71.106	0.267	0.390	0.218	0.749	0.249	0.678
13.820	71.766	0.226	0.479	0.209	0.466	0.217	0.337
13.920	72.425	0.265	0.325	0.300	0.449	0.289	0.237
14.020	73.085	0.141	0.503	0.164	0.479	0.279	0.366
14.120	73.745	0.169	0.748	0.224	0.563	0.187	0.592
14.220	74.404	0.270	0.592	0.271	0.546	0.290	0.345
14.320	75.064	0.282	0.427	0.303	0.398	0.261	0.268
14.430	75.790	0.150	0.701	0.174	0.757	0.224	0.413
14.530	76.450	0.270	0.263	0.197	0.235	0.323	0.366
14.630	77.109	0.113	0.725	0.175	0.686	0.242	0.604
14.730	77.769	0.120	0.871	0.086	0.815	0.157	0.568
14.830	78.429	0.152	0.693	0.131	0.707	0.169	0.292
14.930	79.088	0.140	0.802	0.155	0.653	0.193	0.603
15.030	79.748	0.054	0.854	0.100	0.918	0.177	0.754
15.130	80.408	0.044	0.829	0.101	0.669	0.153	0.645
15.230	81.068	0.124	0.523	0.202	0.515	0.126	0.377
15.330	81.727	0.088	0.711	0.143	0.766	0.139	0.713
15.430	82.387	0.086	0.799	0.127	0.888	0.230	0.752
15.530	83.047	0.082	0.885	0.084	0.848	0.109	0.658
15.630	83.706	0.244	0.464	0.201	0.493	0.126	0.268
15.730	84.366	0.105	0.760	0.174	0.648	0.182	0.645
15.830	85.026	0.010	0.971	0.123	0.799	0.119	0.732
15.930	85.686	0.190	1.005	0.155	0.994	0.202	0.953
16.030	86.345	0.140	0.801	0.249	0.721	0.170	0.790
16.130	87.005	0.233	0.777	0.202	0.691	0.243	0.374
16.230	87.756	0.130	0.910	0.142	0.825	0.113	0.723
16.330	88.507	0.183	0.741	0.163	0.643	0.193	0.448
16.430	89.258	0.197	0.707	0.192	0.801	0.171	0.346
16.530	90.009	0.147	0.722	0.145	0.793	0.221	0.623
16.620	90.685	0.205	0.505	0.249	0.509	0.341	0.410
16.720	91.436	0.185	0.639	0.132	0.507	0.149	0.603
16.820	92.187	0.299	0.472	0.261	0.672	0.261	0.427
16.920	92.938	0.237	0.526	0.347	0.585	0.312	0.227
17.020	93.689	0.153	0.619	0.146	0.746	0.182	0.625
17.120	94.440	0.147	0.838	0.167	0.895	0.102	0.604
17.220	95.191	0.158	0.768	0.102	0.677	0.155	0.622
17.320	95.942	0.165	0.882	0.122	0.848	0.126	0.504
17.420	96.693	0.176	0.636	0.208	0.700	0.231	0.502
17.520	97.444	0.136	0.914	0.228	0.814	0.240	0.726
17.620	98.195	0.154	0.995	0.130	0.860	0.133	0.930
17.720	98.946	0.185	0.639	0.176	0.660	0.244	0.352
17.820	99.697	0.116	0.991	0.241	0.859	0.319	0.722
17.920	100.448	0.204	0.714	0.173	0.708	0.277	0.302
18.020	101.199	0.097	0.498	0.094	0.537	0.085	0.314
18.120	101.950	0.084	0.808	0.195	0.874	0.250	0.549
18.220	102.701	0.200	0.312	0.139	0.423	0.264	0.430
18.320	103.452	0.098	0.635	0.021	0.697	0.067	0.291
18.420	104.203	0.142	0.415	0.119	0.667	0.225	0.698
18.520	104.954	0.112	0.312	0.108	0.517	0.130	0.368
18.620	105.705	0.084	0.632	0.073	0.583	0.117	0.368
18.720	106.456	0.133	0.401	0.078	0.492	0.056	0.294
18.820	107.207	0.038	1.055	-0.014	0.991	0.073	0.715
18.920	107.958	0.039	0.848	0.057	0.746	0.071	0.718
19.020	108.709	0.086	0.738	0.091	0.852	0.094	0.494
19.120	109.460	0.072	0.649	0.068	0.748	0.075	0.349
19.220	110.211	0.071	0.658	0.015	0.670	0.055	0.331
19.320	110.962	0.013	0.774	0.046	0.866	0.101	0.423
19.420	111.713	0.078	0.575	0.101	0.748	0.073	0.480
19.520	112.464	0.047	0.630	0.058	0.827	0.052	0.413
19.620	113.215	0.024	0.961	0.006	0.937	0.083	0.673
19.720	113.709	0.004	0.962	0.056	0.907	0.081	0.783
19.820	114.203	-0.037	0.925	0.051	0.932	0.118	0.868
19.920	114.698	-0.024	0.947	-0.002	0.881	0.067	0.688
20.020	115.192	0.120	0.693	0.187	0.572	0.171	0.609
20.120	115.686	0.044	0.951	-0.022	1.001	0.062	0.731
20.220	116.180	-0.003	0.831	0.043	0.901	0.057	0.792
20.320	116.674	-0.014	0.824	0.064	0.904	0.070	0.645
20.500	117.564	-0.000	0.868	0.112	0.707	0.131	0.595
20.600	118.058	-0.053	0.662	0.064	0.787	0.070	0.645
20.700	118.552	-0.014	0.715	0.070	0.757	0.091	0.715
20.800	119.047	-0.012	0.702	0.037	0.760	0.067	0.423
20.900	119.541	-0.078	0.786	-0.007	0.942	0.062	0.645
21.000	120.035	0.012	0.740	0.051	0.693	0.077	0.740
21.100	120.529	-0.057	0.718	0.013	0.638	0.067	0.645
21.200	121.023	-0.042	0.599	0.080	0.853	0.082	0.828
21.300	121.518	-0.035	0.771	0.080	0.784	0.073	0.665
21.400	122.012	0.025	0.516	0.087	0.683	0.073	0.360
21.500	122.506	-0.050	0.840	-0.002	0.866	0.080	0.648
21.600	123.000	-0.074	0.849	0.021	0.878	0.119	0.645
21.700	123.495	-0.039	0.501	0.044	0.486	0.091	0.660
21.800	123.989	-0.059	0.869	-0.021	0.800	0.081	0.665
21.900	124.483	-0.059	0.810	0.002	0.880	0.059	0.792
22.000	124.977	-0.088	0.806	0.016	0.741	0.062	0.638
22.100	125.471	-0.086	0.708	0.007	0.789	0.085	1.129
22.200	125.966	-0.049	0.858	0.022	0.911	0.074	0.867
22.300	126.460	-0.071	0.853	0.055	1.065	0.058	1.071
22.400	126.954	-0.088	0.845	-0.019	1.086	0.074	0.665
22.500	127.448	-0.029	0.738	0.074	1.002	0.077	0.596
22.600	127.942	0.019	0.631	0.097	0.714	0.058	0.529
22.700	128.437	-0.080	0.828	0.073	0.720	0.089	0.769
22.800	128.931	-0.022	0.724	0.079	0.668	0.072	0.701
22.900	129.425	0.059	0.708	0.151	0.878	0.135	0.692
23.000	130.634	0.134	0.919	0.138	0.865	0.107	1.008
23.100	131.842	0.232	1.138	0.120	0.858	0.215	1.301
23.200	133.050	0.325	0.812	0.217	0.721	0.225	0.809
23.300	134.259	0.225	1.050	0.178	0.961	0.242	1.053
23.400	135.468	0.219	0.900	0.202	0.824	0.270	1.214
23.500	136.676	0.252	0.836	0.236	0.817	0.174	1.094
23.600	137.885	0.321	0.792	0.239	0.568	0.170	1.268
23.700	139.093	0.276	0.659	0.271	0.583	0.262	0.645
23.800	139.932	0.194	0.897	0.125	0.846	0.112	1.139
23.900	140.771	0.256	0.759	0.256	0.662	0.234	1.286
24.000	141.610	0.174	1.017	0.034	0.859	0.134	1.333
24.100	142.449	0.234	0.892	0.188	0.791	0.384	0.974
24.200	143.288	0.362	0.497	0.311	0.664	0.292	0.428
24.300	144.127	0.321	0.788	0.190	0.689	0.419	0.637
24.400	144.966	0.343	0.719	0.233	0.731	0.252	0.600
