# depth_[cm]	time_[kyBP]	MLR_POC_flux_[mol/m2/y]	MLR_PIC:POC_[mol:mol]	PLSR_POC_flux_[mol/m2/y]	PLSR_PIC:POC_[mol:mol]	GBR_POC_flux_[mol/m2/y]	GBR_PIC:POC_[mol:mol]
0.060	6.218	0.117	0.614	0.217	0.715	0.224	0.560
0.120	6.218	0.059	0.598	0.076	0.703	0.123	0.481
0.230	6.503	0.073	0.563	0.137	0.663	0.105	0.420
0.330	6.884	0.069	0.510	0.160	0.769	0.115	0.427
0.430	7.264	0.227	0.288	0.103	0.489	0.130	0.452
0.520	7.606	0.102	0.602	0.190	0.630	0.235	0.418
0.620	7.986	0.203	0.414	0.148	0.422	0.147	0.447
0.720	8.367	0.036	0.727	0.135	0.714	0.176	0.815
0.820	8.747	-0.017	0.628	-0.023	0.568	0.074	0.610
0.920	9.127	0.020	0.647	0.023	0.682	0.063	0.422
1.020	9.508	-0.054	1.150	-0.026	1.078	0.060	0.942
1.120	9.888	-0.064	1.016	0.029	0.945	0.072	0.873
1.220	10.249	-0.050	1.132	-0.016	0.967	0.038	1.047
1.320	10.602	-0.053	1.092	-0.046	0.882	0.063	1.213
1.420	10.955	-0.070	1.071	0.016	1.077	0.041	0.723
1.520	11.449	-0.009	0.854	0.193	0.891	0.196	0.752
1.620	11.955	0.033	1.047	0.082	1.105	0.084	1.150
1.720	12.461	0.134	0.999	0.076	0.979	0.107	0.646
1.820	13.222	0.181	0.759	0.139	0.812	0.132	0.643
1.920	14.048	0.180	0.895	0.238	0.869	0.207	0.626
2.020	14.873	0.237	1.113	0.248	0.929	0.441	0.930
2.120	15.698	0.349	0.549	0.262	0.532	0.295	0.278
2.220	16.718	0.318	0.918	0.224	0.807	0.225	0.853
2.320	17.820	0.391	0.758	0.272	0.752	0.254	0.430
2.420	18.923	0.421	0.427	0.239	0.238	0.394	0.181
2.520	20.025	0.406	0.711	0.275	0.628	0.507	0.708
2.620	21.127	0.290	0.815	0.274	0.761	0.472	0.346
2.720	22.230	0.427	0.546	0.360	0.502	0.450	0.250
2.820	22.818	0.218	0.850	0.162	0.803	0.336	0.757
2.920	23.350	0.268	0.785	0.158	0.546	0.452	0.834
3.020	23.882	0.449	0.315	0.393	0.276	0.468	0.268
3.120	24.413	0.337	0.585	0.280	0.582	0.217	0.332
3.220	24.945	0.156	0.786	0.124	0.731	0.096	0.548
3.320	25.476	0.178	0.802	0.167	0.571	0.266	0.917
3.420	26.008	0.152	0.742	0.256	0.602	0.149	0.644
3.540	26.646	0.172	0.829	0.208	0.803	0.330	0.615
3.620	27.071	0.262	0.365	0.307	0.494	0.217	0.408
3.720	27.603	0.276	0.540	0.209	0.490	0.284	0.693
3.820	28.135	0.303	0.313	0.283	0.417	0.247	0.181
3.920	28.650	0.238	0.660	0.285	0.656	0.268	0.605
4.020	29.016	0.288	0.426	0.187	0.461	0.308	0.479
4.120	29.382	0.139	0.739	0.165	0.667	0.175	0.400
4.220	29.748	0.181	0.704	0.201	0.566	0.258	0.604
4.320	30.114	0.294	0.486	0.160	0.463	0.198	0.369
4.420	30.480	0.242	0.611	0.144	0.586	0.183	0.367
4.520	30.846	0.254	0.237	0.040	0.169	0.180	0.398
4.620	31.212	0.362	0.303	0.306	0.305	0.323	0.586
4.720	31.578	0.182	0.649	0.252	0.459	0.359	0.535
4.820	31.944	0.307	0.292	0.307	0.349	0.172	0.191
4.920	32.310	0.133	0.703	0.110	0.478	0.220	1.017
5.020	32.676	0.201	0.693	0.308	0.572	0.359	0.674
5.120	33.042	0.226	0.735	0.317	0.680	0.337	0.644
5.220	33.408	0.143	0.849	0.256	0.677	0.292	0.799
5.320	33.774	0.204	0.416	0.244	0.559	0.215	0.290
5.420	34.140	0.236	0.803	0.146	0.733	0.146	0.419
5.520	34.506	0.230	0.832	0.135	0.749	0.143	0.386
5.620	34.873	0.128	0.819	0.093	0.759	0.125	0.469
5.720	35.239	0.144	0.934	0.199	0.822	0.219	0.745
5.820	35.605	0.149	0.890	0.124	0.865	0.150	0.492
5.920	35.971	0.137	0.641	0.198	0.728	0.161	0.377
6.020	36.337	0.162	0.541	0.155	0.610	0.089	0.388
6.120	36.703	0.216	0.718	0.088	0.653	0.163	0.364
6.220	37.069	0.153	0.782	0.148	0.752	0.148	0.449
6.320	37.435	0.246	0.657	0.197	0.761	0.221	0.352
6.420	37.801	0.150	0.624	0.177	0.620	0.169	0.313
6.520	38.167	0.199	0.741	-0.027	0.509	0.119	0.384
6.620	38.533	0.130	0.867	0.049	0.707	0.132	0.592
6.720	38.899	0.099	0.847	0.142	0.731	0.151	0.820
6.820	39.265	0.168	0.817	0.242	0.966	0.169	0.595
6.920	39.616	0.223	0.931	0.130	0.551	0.376	0.683
7.020	39.908	0.291	0.874	0.238	0.776	0.218	0.798
7.120	40.201	0.369	0.332	0.150	0.432	0.237	0.475
7.220	40.493	0.152	0.786	0.142	0.764	0.192	0.861
7.320	40.785	0.270	0.455	0.208	0.366	0.296	0.354
7.420	41.077	0.273	0.523	0.286	0.546	0.518	0.622
7.530	41.398	0.227	0.558	0.276	0.479	0.343	0.513
7.620	41.661	0.225	0.555	0.176	0.586	0.279	0.587
7.720	41.953	0.338	0.466	0.273	0.307	0.438	0.377
7.820	42.245	0.321	0.470	0.307	0.610	0.303	0.205
7.920	42.537	0.275	0.273	0.337	0.400	0.374	0.267
8.020	42.829	0.380	0.149	0.342	0.346	0.278	0.200
8.120	43.121	0.239	0.260	0.215	0.465	0.190	0.581
8.220	43.413	0.237	0.372	0.198	0.348	0.263	0.355
8.320	43.705	0.181	0.613	0.240	0.557	0.316	0.419
8.420	43.998	0.236	0.611	0.131	0.673	0.157	0.655
8.520	44.290	0.358	0.284	0.248	0.390	0.253	0.189
8.620	44.582	0.351	0.142	0.224	0.228	0.335	0.339
8.720	44.874	0.249	0.564	0.296	0.501	0.337	0.454
8.820	45.166	0.184	0.443	0.137	0.396	0.127	0.333
8.920	45.458	0.325	0.251	0.289	0.429	0.297	0.184
9.020	45.750	0.176	0.520	0.212	0.575	0.182	0.328
9.120	46.254	0.188	0.808	0.161	0.642	0.228	0.555
9.220	46.758	0.175	0.634	0.185	0.747	0.159	0.465
9.320	47.261	0.258	0.464	0.273	0.376	0.337	0.278
9.420	47.765	0.286	0.370	0.235	0.322	0.311	0.258
9.520	48.269	0.215	0.514	0.163	0.591	0.085	0.167
9.620	48.773	0.350	0.270	0.287	0.274	0.357	0.258
