# depth_[cm]	time_[kyBP]	MLR_POC_flux_[mol/m2/y]	MLR_PIC:POC_[mol:mol]	PLSR_POC_flux_[mol/m2/y]	PLSR_PIC:POC_[mol:mol]	GBR_POC_flux_[mol/m2/y]	GBR_PIC:POC_[mol:mol]
0.000	0.000	0.108	0.632	0.154	0.674	0.237	0.416
0.040	0.061	0.122	0.678	0.156	0.677	0.122	0.635
0.400	0.615	0.107	0.788	0.080	0.740	0.126	0.638
0.800	1.229	0.141	0.660	0.147	0.626	0.133	0.455
1.200	1.844	0.133	0.624	0.089	0.684	0.101	0.408
1.280	1.967	0.162	0.532	0.208	0.524	0.141	0.479
1.360	2.090	0.066	0.833	0.078	0.782	0.116	0.635
1.440	2.213	0.123	0.809	0.177	0.676	0.232	0.809
1.520	2.336	0.077	0.726	0.085	0.786	0.103	0.557
1.600	2.459	0.149	0.816	0.074	0.784	0.107	0.619
1.680	2.582	0.009	0.931	0.106	0.805	0.110	0.875
1.760	2.705	0.080	0.984	0.089	0.801	0.127	0.884
1.840	2.828	0.016	0.980	0.028	0.964	0.097	0.857
1.920	2.935	0.124	0.661	0.145	0.636	0.126	0.851
2.000	2.997	0.090	0.905	0.081	0.788	0.121	0.884
2.160	3.133	0.140	0.735	0.175	0.615	0.145	0.853
2.240	3.220	0.069	0.951	0.140	0.703	0.158	0.853
2.320	3.306	0.150	0.645	0.154	0.658	0.089	0.406
2.400	3.392	0.107	0.693	0.117	0.747	0.127	0.648
2.480	3.479	0.196	0.490	0.186	0.537	0.133	0.603
2.800	3.824	0.089	0.774	0.104	0.763	0.147	0.640
2.960	3.997	0.103	0.455	0.178	0.567	0.131	0.416
3.200	4.207	0.107	0.648	0.151	0.620	0.122	0.635
3.480	4.380	0.110	0.572	0.163	0.711	0.110	0.622
3.600	4.499	0.129	0.455	0.191	0.488	0.118	0.416
4.000	4.897	0.188	0.920	0.163	0.808	0.184	0.928
4.200	5.096	0.214	0.885	0.118	0.882	0.150	0.649
4.400	5.296	0.163	0.813	0.056	0.803	0.123	0.671
4.640	5.740	0.164	0.845	0.034	0.903	0.097	0.607
4.800	5.973	0.108	0.868	0.062	0.775	0.122	0.625
5.040	6.323	0.158	0.930	0.060	0.936	0.113	0.684
5.200	6.557	0.216	0.857	0.141	0.843	0.111	0.655
5.400	6.848	0.226	0.742	0.188	0.690	0.121	0.644
5.440	6.907	0.149	0.865	0.098	0.872	0.116	0.625
5.520	7.023	0.273	0.552	0.188	0.649	0.110	0.607
5.600	7.140	0.186	0.651	0.143	0.597	0.123	0.561
5.680	7.257	0.122	0.922	0.091	0.819	0.124	0.848
5.840	7.490	0.047	1.132	0.112	0.994	0.152	0.640
6.000	7.723	0.202	0.606	0.252	0.548	0.288	0.475
6.520	8.482	0.244	0.645	0.172	0.723	0.144	0.430
6.760	8.832	0.200	0.650	0.192	0.655	0.220	0.383
6.900	9.036	0.116	0.929	0.104	0.743	0.129	0.842
6.980	9.153	0.255	0.554	0.170	0.597	0.129	0.541
7.100	9.328	0.248	0.731	0.176	0.759	0.095	0.410
7.220	9.503	0.244	0.507	0.150	0.535	0.192	0.370
7.300	9.619	0.273	0.735	0.272	0.688	0.441	0.468
7.380	9.736	0.247	0.561	0.213	0.697	0.235	0.453
7.460	9.853	0.206	0.648	0.170	0.662	0.246	0.583
7.540	9.969	0.165	0.878	0.176	0.778	0.266	0.893
7.620	10.086	0.194	0.717	0.205	0.827	0.195	0.452
7.700	10.203	0.156	0.741	0.162	0.709	0.150	0.620
7.780	10.319	0.169	0.610	0.213	0.577	0.264	0.421
7.840	10.407	0.134	0.695	0.163	0.655	0.223	0.449
7.900	10.494	0.272	0.310	0.221	0.422	0.277	0.551
7.980	10.611	0.197	0.612	0.149	0.648	0.121	0.582
8.060	10.728	0.122	0.809	0.183	0.688	0.266	0.884
8.100	10.786	0.091	0.901	0.134	0.785	0.150	0.884
8.140	10.844	0.174	0.715	0.214	0.691	0.246	0.620
8.220	10.961	0.168	0.592	0.207	0.569	0.264	0.370
8.300	11.078	0.191	0.418	0.281	0.539	0.316	0.369
8.380	11.194	0.221	0.300	0.209	0.484	0.173	0.439
8.460	11.311	0.128	0.575	0.185	0.628	0.120	0.456
8.540	11.428	0.180	0.381	0.236	0.465	0.109	0.346
8.620	11.544	0.211	0.437	0.277	0.454	0.349	0.413
8.700	12.060	0.050	0.722	0.156	0.656	0.241	0.790
8.780	12.168	0.078	0.708	0.185	0.598	0.129	0.833
8.860	12.275	0.080	0.888	0.138	0.737	0.139	0.790
8.900	12.329	0.090	0.846	0.148	0.758	0.227	0.864
8.940	12.383	0.101	0.809	0.194	0.648	0.260	0.833
9.020	12.491	0.109	0.727	0.150	0.612	0.147	0.790
9.100	12.598	0.139	0.707	0.173	0.659	0.223	0.590
9.200	12.733	0.197	0.506	0.268	0.554	0.276	0.413
9.320	12.894	0.310	-0.212	0.254	0.144	0.349	0.350
9.440	13.056	0.359	-0.223	0.346	0.100	0.344	0.418
9.800	13.540	0.330	0.229	0.103	0.321	0.385	0.439
10.000	13.809	0.394	-0.118	0.255	0.562	0.194	0.368
