# depth_[cm]	time_[kyBP]	MLR_POC_flux_[mol/m2/y]	MLR_PIC:POC_[mol:mol]	PLSR_POC_flux_[mol/m2/y]	PLSR_PIC:POC_[mol:mol]	GBR_POC_flux_[mol/m2/y]	GBR_PIC:POC_[mol:mol]
0.010	9.314	0.026	0.697	0.043	0.832	0.114	0.563
0.020	9.588	-0.036	0.670	0.018	0.703	0.079	0.419
0.120	11.534	0.078	0.886	0.127	0.719	0.286	0.798
0.120	11.534	0.052	0.620	0.172	0.717	0.205	0.463
0.220	12.288	-0.003	0.869	0.075	0.725	0.106	0.703
0.220	12.288	0.012	1.084	0.067	1.060	0.108	0.986
0.320	12.857	0.156	0.921	0.155	0.639	0.244	1.211
0.320	12.857	0.070	0.948	0.223	0.814	0.266	0.976
0.420	13.585	0.091	0.843	0.103	0.897	0.113	0.826
0.420	13.585	0.109	0.642	0.152	0.555	0.147	0.461
0.520	14.472	-0.019	0.914	0.026	0.660	0.223	0.942
0.520	14.472	0.358	0.346	0.368	0.304	0.421	0.141
0.620	15.358	0.323	0.341	0.280	0.475	0.201	0.218
0.620	15.358	0.038	0.996	0.157	0.972	0.157	0.980
0.720	16.245	-0.006	0.919	0.142	0.724	0.255	0.621
0.720	16.245	0.212	0.673	0.137	0.665	0.241	0.584
0.820	17.131	0.049	1.048	0.220	0.775	0.160	1.053
0.820	17.131	0.243	0.547	0.174	0.652	0.116	0.225
0.920	18.018	0.380	0.239	0.277	0.360	0.306	0.315
1.020	18.905	0.330	0.339	0.270	0.504	0.271	0.218
1.120	19.791	0.308	0.356	0.239	0.402	0.345	0.501
1.220	20.678	0.344	0.423	0.317	0.530	0.378	0.282
1.320	21.565	0.163	0.695	0.158	0.827	0.085	0.609
1.420	22.451	0.235	0.622	0.169	0.758	0.285	0.525
1.520	23.338	0.208	0.859	0.119	0.842	0.209	0.558
1.620	24.224	0.170	0.809	0.063	0.772	0.064	0.680
1.720	25.111	0.275	0.508	0.251	0.545	0.212	0.313
1.820	25.998	0.306	0.259	0.151	0.409	0.171	0.576
1.920	26.884	0.132	0.515	0.088	0.656	0.108	0.619
2.020	27.771	0.247	0.774	0.194	0.512	0.155	0.950
2.120	28.657	0.229	0.468	0.120	0.560	0.075	0.489
2.220	29.544	0.153	0.513	0.296	0.663	0.232	0.593
2.320	30.431	0.085	0.479	0.088	0.736	0.055	0.297
2.420	31.317	0.175	0.858	0.036	0.848	0.106	0.668
2.520	32.204	0.110	0.899	0.156	0.718	0.175	0.927
2.620	33.091	0.189	0.593	0.188	0.668	0.119	0.380
2.720	33.977	0.114	0.717	0.062	0.734	0.052	0.516
2.820	34.864	0.141	0.697	0.195	0.823	0.138	0.604
2.920	35.750	0.200	0.601	0.201	0.630	0.131	0.246
3.020	36.637	0.157	0.550	0.131	0.355	0.077	0.356
