# depth_[cm]	time_[kyBP]	MLR_POC_flux_[mol/m2/y]	MLR_PIC:POC_[mol:mol]	PLSR_POC_flux_[mol/m2/y]	PLSR_PIC:POC_[mol:mol]	GBR_POC_flux_[mol/m2/y]	GBR_PIC:POC_[mol:mol]
14.220	282.385	0.270	0.206	0.259	0.489	0.249	0.336
14.320	283.964	0.152	0.563	0.157	0.501	0.215	0.419
14.420	285.544	0.177	0.483	0.165	0.438	0.205	0.410
14.520	287.124	0.167	0.353	0.192	0.521	0.106	0.251
14.620	288.704	0.055	0.775	0.145	0.796	0.225	0.843
14.720	290.283	0.199	0.375	0.202	0.559	0.200	0.636
14.820	291.863	0.235	0.572	0.317	0.528	0.261	0.235
14.920	293.443	0.179	0.615	0.264	0.585	0.236	0.468
15.020	295.023	0.182	0.310	0.250	0.452	0.279	0.275
15.120	296.602	0.197	0.202	0.194	0.365	0.165	0.233
15.220	298.182	0.191	0.373	0.185	0.423	0.217	0.467
15.320	299.762	0.122	0.739	0.223	0.608	0.284	0.724
15.420	301.341	0.239	0.181	0.240	0.188	0.309	0.161
15.520	302.921	0.162	0.327	0.209	0.420	0.131	0.191
15.620	304.501	0.253	0.309	0.292	0.446	0.475	0.608
15.720	306.081	0.274	0.114	0.258	0.279	0.246	0.403
15.820	307.660	0.165	0.454	0.276	0.417	0.080	0.354
15.920	309.240	0.152	0.391	0.251	0.377	0.097	0.427
16.020	310.820	0.212	0.204	0.215	0.261	0.201	0.331
16.120	312.399	0.162	0.446	0.205	0.475	0.110	0.375
16.220	313.979	0.124	0.425	0.182	0.451	0.180	0.443
16.320	315.559	0.068	0.652	0.150	0.891	0.077	0.591
16.420	317.139	0.124	0.706	0.148	0.576	0.158	0.720
16.520	318.718	0.088	0.529	0.088	0.630	0.074	0.316
16.620	320.298	0.006	0.765	0.172	0.893	0.193	0.782
16.720	321.878	0.046	0.748	0.091	0.736	0.084	0.672
16.820	323.458	0.026	0.838	0.082	0.812	0.045	0.751
16.920	325.037	0.076	0.673	0.124	0.776	0.102	0.775
17.020	326.617	0.108	0.728	0.116	0.866	0.153	0.545
17.120	327.808	0.054	0.734	0.077	0.575	0.055	0.654
17.220	328.999	0.266	0.107	0.144	0.390	0.174	0.364
17.320	330.191	0.126	0.553	0.131	0.689	0.111	0.414
17.420	331.382	0.158	0.446	0.192	0.631	0.227	0.433
17.520	332.573	0.177	0.424	0.207	0.522	0.128	0.364
17.620	333.764	0.087	0.582	0.137	0.675	0.118	0.439
17.720	334.956	0.076	0.829	0.079	0.880	0.106	0.815
17.820	336.147	0.041	0.851	0.135	0.934	0.148	0.760
17.920	337.338	0.112	0.895	0.076	0.772	0.100	0.806
18.020	338.529	0.144	0.731	0.191	0.634	0.165	0.761
18.120	339.721	0.116	0.723	0.127	0.580	0.111	0.484
18.220	340.912	0.087	0.786	0.181	0.742	0.146	0.746
18.320	342.103	0.211	0.669	0.276	0.493	0.357	0.588
18.420	345.716	0.413	0.312	0.307	0.092	0.539	0.278
18.520	349.330	0.146	0.616	0.034	0.412	0.127	0.578
18.620	352.943	0.293	0.198	0.169	0.402	0.137	0.217
18.720	356.556	0.250	0.248	0.124	0.443	0.135	0.397
18.820	360.169	0.214	0.349	0.183	0.484	0.182	0.227
18.920	363.783	0.128	0.562	0.100	0.508	0.117	0.397
19.020	367.396	0.200	0.479	0.278	0.511	0.322	0.469
19.120	371.009	0.256	0.298	0.232	0.275	0.201	0.279
19.220	374.622	0.225	0.731	0.223	0.641	0.426	0.554
19.320	378.236	0.141	0.657	0.216	0.503	0.355	0.662
19.420	381.849	0.308	0.221	0.193	0.310	0.240	0.439
19.520	385.142	0.140	0.495	0.154	0.469	0.135	0.524
19.620	388.435	0.148	0.574	0.187	0.786	0.234	0.672
19.720	391.728	0.166	0.642	0.161	0.727	0.108	0.352
19.820	395.021	0.139	0.587	0.171	0.434	0.127	0.850
19.920	398.314	0.216	0.256	0.096	0.338	0.139	0.466
20.020	401.607	0.008	0.822	0.119	0.836	0.098	0.753
20.120	404.900	0.032	0.957	0.088	0.889	0.120	0.731
20.220	406.682	-0.013	0.957	0.045	0.958	0.082	0.740
20.320	408.464	0.046	0.654	0.084	0.634	0.102	0.755
20.420	410.246	0.235	0.252	0.179	0.482	0.176	0.476
20.520	412.028	0.120	0.400	0.104	0.559	0.093	0.515
20.620	413.810	0.130	0.457	0.147	0.607	0.106	0.378
20.720	415.592	0.082	0.701	0.085	0.664	0.106	0.731
20.820	417.373	0.195	0.445	0.106	0.523	0.124	0.364
20.920	419.155	0.070	0.738	0.087	0.756	0.092	0.493
21.020	420.937	-0.025	1.020	0.012	1.041	0.038	1.047
21.120	422.719	0.044	0.912	0.026	0.872	0.079	1.393
21.220	424.501	0.044	1.096	0.074	1.136	0.099	1.071
21.320	426.283	0.061	1.012	0.072	1.075	0.079	1.024
21.420	428.065	0.213	0.815	0.098	0.614	0.131	0.939
21.520	431.084	0.276	0.733	0.300	0.519	0.507	0.579
21.620	434.104	0.387	0.440	0.321	0.424	0.525	0.201
21.720	437.123	0.166	0.690	0.117	0.523	0.118	0.654
21.820	440.143	0.117	0.748	0.038	0.644	0.077	0.622
21.920	443.162	0.068	0.816	0.138	0.685	0.099	0.989
22.020	446.182	0.137	0.521	0.090	0.514	0.102	0.431
22.120	449.201	0.029	0.729	0.034	0.415	0.054	0.561
22.220	452.220	0.206	0.342	0.152	0.385	0.107	0.174
22.320	455.240	0.149	0.497	0.128	0.327	0.106	0.382
22.420	458.259	0.057	0.837	0.026	0.708	0.044	0.598
22.520	461.279	0.066	0.626	0.093	0.453	0.121	0.683
22.620	464.298	0.088	0.711	0.062	0.664	0.073	0.645
22.720	467.318	0.203	0.235	0.147	0.353	0.137	0.262
22.820	470.337	0.021	1.008	-0.018	0.753	0.034	1.066
