# depth_[cm]	time_[kyBP]	MLR_POC_flux_[mol/m2/y]	MLR_PIC:POC_[mol:mol]	PLSR_POC_flux_[mol/m2/y]	PLSR_PIC:POC_[mol:mol]	GBR_POC_flux_[mol/m2/y]	GBR_PIC:POC_[mol:mol]
0.120	6.036	0.161	0.656	0.183	0.570	0.227	0.655
0.220	6.259	0.181	0.638	0.067	0.717	0.138	0.385
0.320	6.482	0.101	0.695	0.102	0.690	0.083	0.534
0.420	6.706	0.098	0.621	0.146	0.654	0.098	0.412
0.520	6.929	0.131	0.656	0.067	0.593	0.079	0.412
0.620	7.152	0.163	0.365	0.116	0.513	0.128	0.461
0.720	7.841	-0.003	0.896	0.018	0.736	0.051	0.759
0.820	8.996	0.078	0.906	0.126	0.962	0.131	0.690
0.920	10.151	0.030	0.871	0.092	0.980	0.055	0.707
1.020	11.306	0.046	0.943	0.167	0.956	0.208	0.746
1.120	12.461	0.064	0.931	0.121	0.879	0.088	0.996
1.220	14.615	0.152	0.866	0.057	0.841	0.088	0.944
1.320	16.769	0.251	1.212	0.152	0.810	0.436	1.174
1.420	18.923	0.186	0.951	0.120	0.973	0.067	0.980
1.520	20.221	0.480	0.668	0.360	0.731	0.519	0.410
1.620	21.520	0.364	0.437	0.343	0.517	0.522	0.392
1.720	22.818	0.256	0.610	0.041	0.622	0.108	0.225
1.820	23.845	0.336	0.382	0.267	0.318	0.414	0.471
1.920	24.873	0.312	0.632	0.335	0.665	0.539	0.460
2.020	25.900	0.163	0.739	0.231	0.879	0.220	0.465
2.120	26.927	0.225	0.830	0.151	0.729	0.142	0.495
2.220	27.955	0.266	0.878	0.322	0.790	0.460	0.524
2.320	28.982	0.491	0.415	0.425	0.396	0.527	0.201
2.420	30.010	0.364	0.405	0.279	0.520	0.260	0.507
2.520	31.701	0.215	0.662	0.292	0.546	0.432	0.385
2.620	34.387	0.178	0.593	0.206	0.660	0.163	0.448
2.720	37.073	0.209	0.648	0.250	0.734	0.390	0.442
2.820	39.760	0.235	0.323	0.254	0.463	0.217	0.303
2.920	42.446	0.170	0.647	0.191	0.416	0.319	0.480
3.020	45.133	0.205	0.595	0.249	0.626	0.168	0.453
3.120	47.819	0.110	0.718	0.119	0.646	0.102	0.734
3.220	50.506	0.055	0.870	0.160	0.943	0.132	1.035
3.320	53.192	0.219	0.671	0.155	0.491	0.164	0.566
3.420	55.878	0.126	0.671	0.112	0.588	0.070	0.459
3.520	58.565	0.109	0.889	0.096	0.992	0.127	0.664
3.620	61.251	0.090	0.798	0.074	0.679	0.081	0.747
3.720	63.277	0.182	0.919	0.152	0.838	0.228	0.834
3.820	65.228	0.286	0.528	0.207	0.543	0.153	0.591
3.920	67.206	0.201	0.695	0.221	0.685	0.169	0.442
4.020	69.411	0.153	0.916	0.258	0.781	0.158	0.540
4.120	71.616	0.129	0.816	0.188	0.661	0.229	1.012
4.220	73.821	0.199	0.708	0.148	0.528	0.215	0.479
4.320	76.026	0.033	0.931	0.074	0.893	0.083	0.761
4.420	78.231	0.124	0.546	0.172	0.568	0.213	0.583
4.520	80.436	0.178	0.782	0.184	0.688	0.214	0.723
4.620	82.641	0.113	0.878	0.228	0.880	0.211	0.768
4.720	84.846	0.047	1.126	0.076	0.993	0.075	1.069
4.820	87.051	0.059	1.171	0.153	0.856	0.135	1.306
4.920	89.256	0.198	0.772	0.198	0.851	0.118	0.554
5.020	91.461	0.111	0.681	0.130	0.741	0.064	0.457
5.120	93.666	0.241	0.537	0.180	0.655	0.135	0.460
5.220	95.871	0.215	0.622	0.146	0.805	0.135	0.481
5.320	98.034	0.159	0.823	0.131	0.683	0.118	0.684
5.420	100.192	0.235	0.668	0.151	0.700	0.122	0.181
5.520	102.350	0.099	1.024	0.063	0.842	0.109	0.656
5.620	104.508	0.157	0.617	0.100	0.737	0.066	0.573
5.720	106.666	0.031	0.924	0.044	0.777	0.046	0.717
5.820	108.824	0.006	1.001	0.092	0.866	0.073	0.639
5.920	110.982	-0.003	1.045	0.060	0.904	0.028	0.794
6.020	113.140	0.075	0.730	0.083	0.695	0.059	0.423
6.120	114.025	-0.028	1.075	0.027	0.958	0.077	1.306
6.220	114.910	0.012	0.928	0.082	0.848	0.040	1.047
6.320	115.794	0.008	0.918	0.086	0.970	0.033	0.733
6.420	116.679	0.047	0.956	0.060	0.993	0.066	0.968
6.520	117.564	-0.032	1.045	0.039	0.884	0.050	0.723
6.620	119.405	-0.042	1.047	0.033	0.934	0.067	1.047
6.720	121.246	-0.025	1.057	0.098	0.926	0.052	1.047
6.820	123.087	0.010	0.897	0.077	0.956	0.085	1.247
6.920	124.928	-0.024	0.996	0.088	0.971	0.074	0.869
7.020	126.929	0.012	1.285	0.010	1.250	0.066	0.992
7.120	128.931	0.135	1.217	0.123	1.277	0.077	1.056
7.220	130.025	0.133	1.200	0.130	1.022	0.104	0.954
7.320	131.118	0.412	1.066	0.170	1.131	0.052	1.033
7.420	132.212	0.254	1.099	0.037	0.951	0.108	1.236
7.520	135.230	0.322	0.849	0.243	0.662	0.362	0.806
7.620	138.248	0.261	0.646	0.165	0.642	0.173	0.482
7.720	141.267	0.222	1.012	0.234	0.774	0.183	0.838
7.820	144.285	0.457	0.645	0.520	0.567	0.589	0.421
7.920	147.303	0.235	0.950	0.315	0.735	0.425	0.775
8.020	150.321	0.380	0.525	0.325	0.200	0.264	0.514
8.120	153.339	0.177	0.888	0.088	0.787	0.082	0.910
8.220	156.358	0.257	0.633	0.235	0.699	0.154	0.561
8.320	159.376	0.258	0.507	0.177	0.486	0.122	0.339
8.420	162.394	0.338	0.383	0.168	0.600	0.117	0.407
8.520	165.412	0.258	0.426	0.090	0.350	0.126	0.488
8.620	168.431	0.173	0.947	0.077	0.807	0.108	0.621
8.720	171.449	0.309	0.559	0.145	0.796	0.131	0.320
8.820	174.467	0.193	0.989	0.038	0.995	0.114	0.754
8.920	177.485	0.078	0.994	0.092	0.926	0.111	0.707
9.020	180.503	0.231	0.561	0.187	0.743	0.154	0.573
9.120	183.522	0.215	0.584	0.177	0.695	0.217	0.567
9.220	186.540	0.162	0.588	0.130	0.838	0.069	0.575
9.320	189.558	0.138	0.554	0.229	0.700	0.118	0.377
9.420	191.058	0.159	0.651	0.099	0.846	0.102	0.460
9.520	192.558	0.163	0.762	0.105	0.790	0.092	0.718
9.620	194.058	0.171	0.786	0.055	0.948	0.111	0.568
9.720	195.558	0.095	0.894	0.115	0.841	0.138	0.680
9.820	197.058	0.212	0.722	0.137	0.802	0.126	0.536
9.920	198.558	0.309	0.417	0.267	0.568	0.224	0.490
10.020	200.058	0.182	0.615	0.157	0.605	0.151	0.545
10.120	201.558	0.282	0.627	0.115	0.595	0.119	0.568
10.220	203.058	0.149	0.777	0.197	0.624	0.145	0.645
10.320	204.558	0.165	0.550	0.139	0.559	0.083	0.292
10.420	206.058	0.132	0.728	0.129	0.633	0.128	0.576
10.520	207.558	0.220	0.542	0.042	0.527	0.104	0.403
10.620	209.058	0.090	0.720	0.074	0.733	0.099	0.600
10.720	210.558	0.182	0.469	0.148	0.594	0.119	0.549
10.820	212.058	0.177	0.717	0.228	0.691	0.134	0.657
10.920	213.558	0.145	0.655	0.266	0.730	0.134	0.580
11.020	215.058	0.151	0.517	0.134	0.626	0.128	0.481
11.120	216.558	0.184	0.411	0.181	0.638	0.127	0.517
11.220	218.059	0.047	0.760	0.232	0.792	0.090	0.856
11.320	219.559	0.310	0.228	0.237	0.563	0.244	0.302
11.420	221.059	0.024	1.001	0.050	1.027	0.067	0.879
11.520	222.559	0.098	0.962	0.243	0.849	0.082	0.635
11.620	224.059	0.099	0.939	0.043	0.884	0.132	0.849
11.720	225.559	0.234	0.782	0.223	0.888	0.437	0.564
11.820	227.059	0.204	0.451	0.319	0.549	0.165	0.370
11.920	228.559	0.237	0.481	0.227	0.479	0.357	0.430
12.020	230.059	0.162	0.419	0.141	0.623	0.094	0.437
12.120	231.559	0.099	0.517	0.119	0.753	0.106	0.429
12.220	233.059	0.120	0.620	0.087	0.725	0.113	0.549
12.320	234.559	0.134	0.432	0.185	0.743	0.147	0.624
12.420	236.059	0.150	0.519	0.106	0.665	0.124	0.501
12.520	237.559	0.128	0.647	0.140	0.704	0.105	0.545
12.620	239.059	0.057	0.770	0.086	0.697	0.097	0.756
12.720	240.559	0.122	0.570	0.111	0.795	0.103	0.501
12.820	242.059	0.015	0.919	0.089	0.998	0.082	0.847
12.920	243.559	0.014	1.140	0.056	0.955	0.079	1.000
13.020	245.059	0.211	0.894	0.195	0.774	0.394	0.683
13.120	248.309	0.154	0.723	0.246	0.689	0.328	0.464
13.220	251.558	0.311	0.333	0.398	0.334	0.496	0.397
13.320	254.808	0.226	0.473	0.338	0.384	0.348	0.334
13.420	258.058	0.354	0.517	0.449	0.417	0.588	0.214
13.520	261.307	0.267	0.644	0.292	0.479	0.272	0.449
13.620	264.557	0.215	0.510	0.229	0.579	0.222	0.355
13.720	267.806	0.227	0.535	0.211	0.519	0.227	0.607
13.820	271.056	0.285	0.277	0.286	0.326	0.279	0.201
13.920	274.306	0.309	0.329	0.253	0.259	0.426	0.214
14.020	277.555	0.178	0.481	0.262	0.554	0.382	0.468
14.120	280.805	0.108	0.430	0.102	0.355	0.209	0.482
