# depth_[cm]	time_[kyBP]	MLR_POC_flux_[mol/m2/y]	MLR_PIC:POC_[mol:mol]	PLSR_POC_flux_[mol/m2/y]	PLSR_PIC:POC_[mol:mol]	GBR_POC_flux_[mol/m2/y]	GBR_PIC:POC_[mol:mol]
0.020	0.145	-0.027	0.847	-0.004	0.684	0.044	0.619
0.100	0.727	0.083	0.685	0.061	0.610	0.083	0.569
0.200	1.455	0.016	0.785	-0.023	0.689	0.044	0.640
0.300	2.182	0.056	0.625	0.018	0.658	0.041	0.515
0.400	2.909	-0.023	0.749	-0.003	0.673	0.083	0.784
0.460	3.345	-0.020	0.730	0.023	0.622	0.063	0.648
0.500	3.636	-0.056	0.835	-0.032	0.853	0.074	0.705
0.600	4.364	-0.098	1.115	-0.054	1.101	0.046	0.555
0.650	4.727	-0.087	0.812	0.022	0.684	0.044	0.721
0.700	5.091	-0.089	1.042	0.034	1.015	0.074	0.615
0.800	5.818	-0.118	1.084	-0.049	1.105	0.084	0.733
0.900	6.545	-0.106	0.875	0.026	0.829	0.036	0.645
1.000	7.273	-0.044	0.899	0.011	0.825	0.067	0.750
1.040	7.564	0.002	0.941	0.083	1.047	0.086	0.847
1.100	8.000	-0.041	0.779	0.054	0.780	0.090	0.940
1.200	8.727	0.020	0.713	0.080	0.709	0.114	0.616
1.300	9.455	-0.005	0.840	0.103	0.797	0.135	0.838
1.400	10.182	0.035	0.701	0.120	0.640	0.116	0.717
1.500	10.909	0.040	0.682	0.109	0.516	0.088	0.501
1.600	11.636	0.169	0.556	0.110	0.375	0.097	0.291
1.700	12.632	0.276	0.484	0.254	0.432	0.290	0.169
1.800	13.895	0.300	0.511	0.279	0.402	0.215	0.193
1.900	15.158	0.358	0.376	0.225	0.369	0.221	0.344
2.000	16.421	0.389	0.438	0.254	0.458	0.192	0.361
2.040	16.926	0.378	0.346	0.364	0.452	0.422	0.217
2.100	17.684	0.254	0.490	0.211	0.647	0.112	0.219
2.200	18.947	0.338	0.482	0.323	0.593	0.188	0.211
2.300	20.211	0.346	0.442	0.337	0.461	0.435	0.214
2.400	21.474	0.390	0.508	0.267	0.529	0.206	0.187
2.500	22.737	0.310	0.505	0.317	0.473	0.360	0.203
2.600	24.000	0.353	0.413	0.318	0.363	0.202	0.139
2.700	25.591	0.311	0.541	0.311	0.562	0.447	0.405
2.800	27.182	0.286	0.524	0.264	0.497	0.174	0.203
2.900	28.773	0.313	0.532	0.264	0.591	0.194	0.233
3.000	30.364	0.267	0.533	0.219	0.528	0.212	0.582
3.040	31.000	0.311	0.446	0.287	0.553	0.224	0.357
3.100	31.955	0.298	0.486	0.234	0.484	0.220	0.233
3.200	33.545	0.163	0.864	0.151	0.775	0.138	0.856
3.300	35.136	0.304	0.538	0.238	0.497	0.355	0.203
3.400	36.727	0.263	0.546	0.232	0.510	0.321	0.129
3.500	38.318	0.279	0.497	0.213	0.600	0.210	0.203
3.600	39.909	0.247	0.642	0.217	0.636	0.173	0.584
3.700	41.500	0.252	0.640	0.170	0.735	0.193	0.436
3.800	43.091	0.201	0.562	0.137	0.647	0.130	0.372
3.900	44.682	0.256	0.413	0.249	0.433	0.155	0.213
4.000	46.273	0.283	0.518	0.248	0.624	0.222	0.391
4.040	46.909	0.295	0.637	0.250	0.653	0.398	0.421
4.100	47.864	0.270	0.486	0.327	0.563	0.297	0.466
4.200	49.455	0.311	0.497	0.268	0.479	0.287	0.203
4.300	51.045	0.283	0.533	0.257	0.576	0.258	0.203
4.400	52.636	0.269	0.467	0.207	0.518	0.145	0.391
4.500	54.227	0.190	0.726	0.199	0.771	0.160	0.381
4.600	55.818	0.293	0.463	0.285	0.546	0.252	0.217
4.700	57.409	0.152	0.645	0.226	0.632	0.122	0.334
4.800	59.000	0.281	0.531	0.236	0.563	0.232	0.571
4.900	60.059	0.343	0.480	0.346	0.571	0.235	0.217
5.000	61.118	0.333	0.475	0.310	0.690	0.308	0.337
5.100	62.176	0.343	0.450	0.239	0.618	0.216	0.517
5.200	63.235	0.361	0.556	0.286	0.638	0.344	0.323
5.300	64.294	0.298	0.571	0.238	0.774	0.323	0.369
5.400	65.353	0.283	0.563	0.187	0.656	0.151	0.203
5.500	66.412	0.243	0.650	0.197	0.674	0.151	0.153
5.600	67.471	0.154	0.786	0.151	0.795	0.092	0.534
5.700	69.344	0.078	0.911	0.079	0.895	0.134	0.674
5.800	72.031	0.114	0.809	0.128	0.776	0.265	0.620
5.900	74.719	0.127	0.867	0.135	0.829	0.150	0.669
6.000	77.406	0.138	0.636	0.101	0.649	0.117	0.586
6.100	80.094	0.064	0.781	0.075	0.809	0.144	0.522
6.200	82.781	0.055	0.791	0.065	0.648	0.101	1.154
6.300	85.469	0.111	0.727	0.165	0.696	0.226	0.578
6.400	88.156	0.181	0.628	0.144	0.737	0.099	0.422
6.500	90.844	0.114	0.799	0.088	0.859	0.119	0.809
6.600	93.531	0.102	0.708	0.097	0.728	0.081	0.349
6.700	96.219	0.016	0.940	0.011	0.927	0.070	0.787
6.800	98.906	0.042	0.855	0.063	0.858	0.080	0.615
6.900	101.594	0.048	0.834	0.059	0.700	0.105	0.531
7.000	104.281	0.099	0.691	0.168	0.770	0.090	0.521
7.100	106.969	0.106	0.883	0.053	0.838	0.145	0.665
7.200	109.656	0.154	0.737	0.121	0.746	0.111	0.407
7.300	111.826	-0.003	0.905	0.051	0.909	0.051	0.553
7.400	113.478	0.001	0.697	0.030	0.703	0.064	0.803
7.500	115.130	-0.009	0.745	0.032	0.606	0.054	0.632
7.600	116.783	-0.002	0.767	0.046	0.681	0.065	0.740
7.700	118.435	-0.040	0.950	-0.010	0.916	0.064	0.803
7.800	120.087	-0.025	0.950	0.057	0.888	0.063	0.670
7.900	121.739	-0.119	0.992	0.010	0.866	0.077	0.740
8.000	123.391	-0.086	0.899	0.021	0.906	0.070	0.868
8.100	125.043	-0.100	1.099	-0.013	0.955	0.068	0.703
8.200	126.696	0.026	0.779	0.090	0.609	0.108	0.678
8.300	128.348	0.136	0.724	0.148	0.470	0.121	0.732
8.400	130.000	0.347	0.467	0.283	0.460	0.361	0.392
8.500	132.500	0.236	0.454	0.344	0.576	0.182	0.234
8.600	135.000	0.285	0.660	0.384	0.732	0.348	0.153
8.700	137.500	0.332	0.576	0.237	0.603	0.178	0.362
8.800	140.000	0.252	0.631	0.233	0.644	0.178	0.211
8.900	142.500	0.314	0.367	0.241	0.368	0.173	0.146
8.940	143.500	0.299	0.494	0.311	0.707	0.202	0.243
