# depth_[cm]	time_[kyBP]	MLR_POC_flux_[mol/m2/y]	MLR_PIC:POC_[mol:mol]	PLSR_POC_flux_[mol/m2/y]	PLSR_PIC:POC_[mol:mol]	GBR_POC_flux_[mol/m2/y]	GBR_PIC:POC_[mol:mol]
17.950	76.751	0.027	0.867	0.098	0.569	0.130	0.619
18.050	76.992	0.054	0.895	0.081	0.695	0.190	0.639
18.150	77.233	0.092	0.571	0.070	0.567	0.085	0.362
18.250	77.473	0.157	0.620	0.143	0.714	0.110	0.346
18.350	77.714	0.126	0.530	0.195	0.706	0.123	0.623
18.450	77.955	0.218	0.204	0.228	0.328	0.072	0.204
18.550	78.196	0.261	0.171	0.177	0.241	0.219	0.292
18.650	78.436	0.090	0.688	0.109	0.684	0.196	0.402
18.750	78.677	0.137	0.508	0.155	0.555	0.103	0.251
18.850	78.918	0.024	0.558	0.068	0.837	0.090	0.536
18.950	79.159	0.164	0.703	0.067	0.753	0.114	0.549
19.050	79.400	0.164	0.318	0.155	0.448	0.243	0.426
19.150	79.640	0.045	0.578	0.067	0.635	0.060	0.241
19.250	79.881	-0.016	0.768	0.027	0.775	0.076	0.565
19.350	80.122	0.057	0.850	0.129	0.718	0.216	0.635
19.450	80.363	0.055	0.702	0.094	0.723	0.084	0.446
19.550	80.603	0.072	0.665	0.155	0.611	0.122	0.698
19.650	80.844	0.099	0.617	0.172	0.663	0.092	0.329
19.750	81.085	0.008	0.747	0.040	0.856	0.071	0.512
19.850	81.326	-0.032	1.123	-0.001	0.908	0.081	0.942
19.950	81.567	0.025	1.087	0.006	0.826	0.082	0.921
20.050	81.807	-0.024	1.100	0.068	0.929	0.083	0.685
20.150	82.099	0.075	1.163	0.055	1.046	0.155	1.124
20.250	82.594	0.027	1.116	0.104	1.154	0.078	1.164
20.350	83.089	0.054	0.994	0.151	0.950	0.168	0.780
20.450	83.585	0.072	1.242	0.383	0.986	0.167	0.962
20.550	84.080	0.143	1.136	0.200	0.891	0.153	1.091
20.650	84.575	0.101	1.009	0.196	0.729	0.213	0.616
20.750	84.930	0.086	1.068	0.036	0.612	0.182	0.692
20.850	85.284	0.159	0.782	0.160	0.719	0.134	0.447
20.950	85.639	0.327	0.561	0.299	0.406	0.265	0.323
21.050	85.993	0.270	0.477	0.240	0.651	0.235	0.563
21.150	86.348	0.268	0.207	0.286	0.473	0.188	0.204
21.250	86.703	0.153	0.511	0.237	0.437	0.184	0.364
21.350	87.057	0.114	0.531	0.202	0.559	0.185	0.443
21.450	87.412	0.219	0.106	0.162	0.191	0.203	0.163
21.550	87.766	0.070	0.692	0.078	0.833	0.073	0.351
21.650	88.121	0.143	0.556	0.079	0.513	0.156	0.415
21.750	88.476	0.182	0.440	0.170	0.534	0.203	0.359
21.850	88.830	0.147	0.388	0.199	0.465	0.176	0.290
21.950	89.185	0.138	0.593	0.085	0.503	0.127	0.354
22.050	89.539	0.151	0.372	0.153	0.419	0.135	0.350
22.150	89.894	0.116	0.644	0.206	0.662	0.253	0.602
22.250	90.249	0.046	0.595	0.148	0.663	0.118	0.425
22.350	90.603	0.238	0.432	0.177	0.543	0.238	0.584
22.450	90.958	0.197	0.496	0.191	0.622	0.256	0.609
22.550	91.312	0.197	0.537	0.299	0.558	0.242	0.589
22.650	91.667	0.146	0.484	0.210	0.559	0.252	0.570
22.750	92.022	0.109	0.544	0.155	0.649	0.145	0.296
22.850	92.376	0.118	0.845	0.177	0.730	0.187	0.681
22.950	92.731	0.161	0.576	0.160	0.389	0.182	0.286
23.050	93.085	0.213	0.819	0.284	0.611	0.276	0.867
23.150	93.440	0.015	0.872	0.152	0.659	0.219	0.656
