# depth_[cm]	time_[kyBP]	MLR_POC_flux_[mol/m2/y]	MLR_PIC:POC_[mol:mol]	PLSR_POC_flux_[mol/m2/y]	PLSR_PIC:POC_[mol:mol]	GBR_POC_flux_[mol/m2/y]	GBR_PIC:POC_[mol:mol]
0.010	3.368	-0.029	0.907	0.106	0.916	0.133	0.853
0.030	3.368	-0.043	0.838	0.117	1.060	0.058	0.869
0.050	3.368	-0.012	0.779	0.023	0.888	0.104	0.526
0.130	3.637	0.011	0.676	0.156	0.717	0.199	0.513
0.150	3.757	0.043	0.895	0.064	0.747	0.090	1.212
0.230	4.235	0.009	0.901	0.064	0.648	0.115	0.750
0.250	4.355	-0.023	0.809	0.043	0.776	0.080	0.553
0.330	4.833	-0.005	0.872	0.060	0.815	0.074	0.784
0.350	4.953	-0.055	0.973	-0.067	0.788	0.060	0.721
0.450	5.551	-0.003	0.856	0.091	0.677	0.157	0.595
0.550	6.149	0.024	0.830	0.093	0.727	0.147	0.695
0.650	6.747	-0.043	1.071	-0.023	0.909	0.066	0.954
0.750	7.345	-0.020	1.060	0.074	0.796	0.107	0.905
0.850	7.944	-0.042	0.722	0.171	0.545	0.199	0.847
0.950	8.542	0.007	0.941	0.079	0.911	0.089	1.045
1.050	9.140	-0.070	1.175	0.047	1.050	0.083	1.047
1.150	9.738	-0.007	1.149	0.115	1.013	0.094	1.047
1.250	10.336	0.032	1.050	0.232	0.874	0.161	1.024
1.350	10.934	0.031	0.829	0.094	0.883	0.117	0.641
1.450	11.532	0.010	1.196	0.012	1.093	0.078	0.957
1.550	12.130	0.031	1.167	0.078	0.948	0.094	1.306
1.650	12.728	0.131	0.857	0.189	0.708	0.134	0.706
1.750	13.315	0.050	0.925	0.126	0.958	0.124	0.597
1.850	13.868	-0.025	1.262	0.104	1.199	0.113	1.035
1.950	14.421	0.232	1.030	0.257	0.917	0.171	1.212
2.050	14.973	0.098	1.031	0.150	0.651	0.180	0.681
2.150	15.526	0.166	1.128	0.146	1.060	0.183	0.637
2.250	16.079	0.220	1.012	0.123	0.881	0.243	0.880
2.350	16.632	0.310	0.651	0.294	0.679	0.297	0.366
2.450	17.184	0.317	0.722	0.177	0.494	0.130	0.441
2.550	17.737	0.239	0.807	0.123	0.811	0.256	0.624
2.650	18.290	0.368	0.645	0.168	0.521	0.270	0.430
2.750	18.843	0.276	0.806	0.123	1.001	0.200	0.658
2.850	19.171	0.258	0.680	0.246	0.942	0.421	0.871
2.950	19.378	0.357	0.597	0.112	0.751	0.193	0.426
3.050	19.586	0.264	0.634	0.285	0.722	0.476	0.322
3.150	19.793	0.372	0.546	0.276	0.724	0.351	0.341
3.250	20.000	0.460	0.361	0.260	0.379	0.284	0.191
3.350	20.208	0.365	0.649	0.243	0.835	0.440	0.313
3.450	20.415	0.386	0.410	0.346	0.488	0.539	0.204
3.550	20.623	0.239	0.693	0.216	0.654	0.176	0.494
3.650	20.830	0.235	0.802	0.182	0.488	0.444	0.733
3.750	21.038	0.314	0.858	0.190	0.799	0.391	0.585
3.850	21.245	0.345	0.510	0.191	0.532	0.425	0.344
3.950	21.452	0.329	0.269	0.202	0.319	0.132	0.191
4.050	21.660	0.246	0.837	0.179	0.639	0.465	0.613
4.150	21.867	0.295	0.483	0.227	0.464	0.435	0.344
4.250	22.204	0.338	0.511	0.165	0.567	0.434	0.532
4.350	22.780	0.363	0.345	0.231	0.250	0.242	0.364
4.450	23.356	0.324	0.484	0.086	0.620	0.197	0.340
4.550	23.932	0.193	0.558	0.202	0.441	0.164	0.323
4.650	24.509	0.244	0.636	0.242	0.660	0.376	0.440
4.750	25.085	0.343	0.516	0.199	0.704	0.123	0.205
4.850	25.661	0.201	0.589	0.175	0.608	0.210	0.409
4.950	26.238	0.235	0.925	0.231	0.916	0.394	0.976
5.050	26.814	0.164	0.861	0.182	0.753	0.401	0.702
5.150	27.390	0.156	0.736	0.094	0.524	0.114	0.745
5.250	27.966	0.244	0.729	0.168	0.779	0.172	0.486
5.350	28.543	0.227	0.603	0.140	0.521	0.433	0.393
5.450	29.119	0.302	0.689	0.078	0.607	0.353	0.504
5.550	29.695	0.331	0.424	0.192	0.532	0.252	0.603
5.650	30.271	0.289	0.398	0.259	0.473	0.178	0.384
5.750	30.713	0.220	0.574	0.167	0.570	0.103	0.430
5.850	31.141	0.200	0.868	0.167	0.813	0.238	1.142
5.950	31.568	0.203	0.768	0.171	0.807	0.117	0.472
6.050	31.995	0.234	0.521	0.211	0.515	0.182	0.454
6.150	32.422	0.228	0.751	0.169	0.944	0.366	0.576
6.250	32.849	0.213	0.571	0.210	0.582	0.151	0.513
6.350	33.276	0.110	0.949	0.031	0.635	0.087	1.204
6.450	33.703	0.085	0.939	0.081	0.964	0.055	1.056
6.550	34.130	0.098	0.589	0.187	0.540	0.166	0.626
6.650	34.557	0.166	0.592	0.177	0.669	0.115	0.620
6.750	34.985	0.184	0.658	0.178	0.689	0.122	0.444
6.850	35.393	0.062	0.767	0.107	0.609	0.097	0.685
6.950	35.796	0.092	0.701	0.183	0.667	0.236	0.584
7.050	36.199	0.126	0.762	0.096	0.546	0.183	0.578
7.150	36.603	0.176	0.551	0.169	0.539	0.127	0.172
7.250	37.006	0.210	0.508	0.175	0.759	0.101	0.323
7.350	37.410	0.148	0.872	0.081	0.757	0.137	0.839
7.450	37.813	0.128	0.563	0.211	0.551	0.120	0.294
7.550	38.216	0.180	0.535	-0.010	0.437	0.064	0.648
7.650	38.620	0.157	0.671	0.233	0.841	0.213	0.652
7.750	39.023	0.167	0.963	0.042	0.828	0.132	0.567
7.850	39.426	0.107	0.714	0.077	0.780	0.049	0.597
7.950	39.830	0.082	0.946	0.132	0.822	0.069	1.089
8.050	40.233	0.198	0.583	0.164	0.691	0.085	0.589
8.150	40.636	0.188	0.699	0.069	0.759	0.120	0.617
8.260	41.080	0.212	0.533	0.173	0.629	0.162	0.217
8.340	41.403	0.203	0.483	0.259	0.538	0.287	0.220
8.450	41.847	0.149	0.391	0.173	0.350	0.129	0.426
8.550	42.250	0.085	0.870	0.166	1.000	0.143	0.894
8.650	42.653	0.162	0.401	0.102	0.493	0.087	0.263
8.750	43.057	0.224	0.449	0.219	0.486	0.131	0.165
8.850	43.460	0.161	0.384	0.200	0.554	0.181	0.285
8.950	43.863	0.208	0.490	0.227	0.446	0.247	0.308
9.050	44.267	0.053	0.665	0.102	0.739	0.117	0.506
9.150	44.670	0.201	0.488	0.291	0.626	0.289	0.428
9.250	45.073	0.086	0.882	0.142	0.591	0.212	0.803
9.350	45.477	0.144	0.383	0.127	0.368	0.197	0.437
9.450	45.880	0.169	0.419	0.199	0.440	0.099	0.156
9.550	46.284	0.149	0.414	0.169	0.578	0.146	0.158
9.650	46.687	0.123	0.490	0.113	0.538	0.097	0.296
9.750	47.090	0.083	0.848	0.158	0.758	0.152	0.747
9.850	47.494	0.211	0.676	0.221	0.773	0.186	0.489
9.950	47.897	0.195	0.751	0.187	0.765	0.203	0.494
10.050	48.300	0.121	0.890	0.206	0.640	0.264	0.722
10.150	48.704	0.131	0.759	0.179	0.568	0.226	0.767
10.250	49.107	0.156	0.489	0.197	0.482	0.187	0.377
10.350	49.510	0.239	0.209	0.245	0.315	0.259	0.454
10.450	49.914	0.114	0.774	0.176	0.737	0.166	0.787
10.550	50.317	0.237	0.648	0.251	0.678	0.307	0.258
10.650	50.721	0.228	0.722	0.153	0.748	0.170	0.524
10.750	51.124	0.178	0.760	0.160	0.668	0.184	0.667
10.850	51.527	0.183	0.735	0.195	0.678	0.273	0.423
10.950	51.931	0.133	0.857	0.238	0.771	0.359	0.830
11.050	52.334	0.156	0.838	0.156	0.805	0.143	0.332
11.150	52.737	0.195	0.649	0.226	0.764	0.248	0.282
11.250	53.141	0.166	0.617	0.249	0.683	0.246	0.273
11.350	53.544	0.201	0.311	0.273	0.625	0.301	0.259
11.450	53.947	0.075	0.913	0.135	0.882	0.101	0.706
11.550	54.351	0.174	0.644	0.068	0.633	0.138	0.346
11.650	54.754	-0.037	1.074	0.007	0.792	0.087	0.942
11.750	55.158	0.093	0.809	0.093	0.797	0.153	0.604
11.850	55.561	0.172	0.593	0.190	0.769	0.101	0.346
11.950	55.964	0.157	0.559	0.134	0.683	0.176	0.411
12.050	56.368	0.186	0.645	0.170	0.617	0.203	0.358
12.150	56.771	0.176	0.664	0.202	0.772	0.160	0.323
12.250	57.174	0.141	0.687	0.224	0.651	0.090	0.667
12.350	57.578	0.132	0.603	0.095	0.512	0.231	0.450
12.450	57.981	0.274	0.528	0.256	0.652	0.234	0.282
12.550	58.384	-0.050	1.032	0.153	0.972	0.120	0.732
12.650	58.788	0.196	0.560	0.219	0.657	0.187	0.249
12.750	59.191	0.273	0.553	0.146	0.666	0.146	0.313
12.850	59.595	0.141	0.829	0.056	0.921	0.119	0.337
12.950	59.998	0.126	1.055	0.087	0.945	0.170	0.626
13.050	60.401	0.235	0.794	0.143	0.820	0.136	0.510
13.150	60.805	0.204	0.886	0.171	0.904	0.099	0.472
13.250	61.208	0.177	0.845	0.103	0.843	0.194	0.689
13.350	61.611	0.221	0.936	0.166	0.866	0.119	0.702
13.450	62.014	0.156	0.874	0.173	0.763	0.287	0.678
13.550	62.417	0.278	0.861	0.136	0.741	0.228	0.689
13.650	62.820	0.322	0.525	0.262	0.429	0.376	0.424
13.750	63.222	0.186	0.766	0.207	0.760	0.258	0.637
13.850	63.625	0.327	0.566	0.180	0.524	0.298	0.421
13.950	64.028	0.284	0.493	0.191	0.416	0.250	0.419
14.050	64.431	0.310	0.292	0.185	0.391	0.311	0.544
14.150	64.834	0.217	0.573	0.045	0.616	0.097	0.344
14.250	65.237	0.250	0.354	0.104	0.386	0.216	0.344
14.350	65.639	0.196	0.796	0.139	0.666	0.131	0.647
14.450	66.042	0.231	0.549	0.231	0.546	0.294	0.541
14.550	66.445	0.150	0.598	0.224	0.500	0.270	0.471
14.650	66.848	0.330	0.244	0.275	0.258	0.371	0.194
14.750	67.251	0.276	0.357	0.339	0.610	0.319	0.180
14.850	67.654	0.280	0.298	0.296	0.499	0.352	0.359
14.950	68.056	0.202	0.396	0.287	0.543	0.317	0.323
15.050	68.459	0.214	0.307	0.101	0.433	0.188	0.492
15.150	68.862	0.113	0.668	0.201	0.518	0.220	0.744
15.250	69.265	0.289	0.098	0.327	0.323	0.189	0.457
15.350	69.668	0.284	0.277	0.343	0.519	0.207	0.268
15.450	70.070	0.258	0.284	0.194	0.577	0.215	0.406
15.550	70.473	0.303	0.144	0.245	0.348	0.203	0.083
15.650	70.876	0.185	0.554	0.168	0.802	0.075	0.124
15.750	71.279	0.230	0.370	0.206	0.572	0.125	0.268
15.850	71.682	0.298	0.175	0.351	0.424	0.412	0.441
15.950	71.936	0.106	0.701	0.146	0.685	0.126	0.761
16.050	72.176	0.135	0.421	0.201	0.557	0.126	0.167
16.150	72.417	0.254	0.274	0.189	0.403	0.202	0.194
16.250	72.658	0.195	0.354	0.216	0.718	0.245	0.443
16.350	72.899	0.102	0.650	0.139	0.882	0.098	0.425
16.450	73.139	0.116	0.558	0.063	0.574	0.100	0.370
16.550	73.380	0.127	0.697	0.193	0.628	0.202	0.654
16.650	73.621	0.111	0.740	0.206	0.876	0.180	0.408
16.750	73.862	0.142	0.587	0.200	0.470	0.282	0.400
16.850	74.103	0.041	0.787	0.129	0.786	0.130	0.537
16.950	74.343	0.127	0.604	0.131	0.476	0.210	0.776
17.050	74.584	0.257	0.264	0.189	0.437	0.157	0.279
17.150	74.825	0.226	0.088	0.105	0.191	0.125	0.238
17.250	75.066	0.067	0.507	0.155	0.520	0.200	0.368
17.350	75.306	-0.010	0.738	-0.001	0.889	0.041	0.276
17.450	75.547	-0.017	0.770	0.052	0.785	0.074	0.708
17.550	75.788	0.092	0.629	-0.002	0.737	0.053	0.407
17.650	76.029	0.181	0.561	0.213	0.840	0.266	0.594
17.750	76.270	0.152	0.724	0.181	0.667	0.244	0.400
17.850	76.510	0.172	0.688	0.058	0.825	0.090	0.374
