# depth_[cm]	time_[kyBP]	MLR_POC_flux_[mol/m2/y]	MLR_PIC:POC_[mol:mol]	PLSR_POC_flux_[mol/m2/y]	PLSR_PIC:POC_[mol:mol]	GBR_POC_flux_[mol/m2/y]	GBR_PIC:POC_[mol:mol]
0.060	1.384	0.003	0.740	0.107	0.654	0.100	0.681
0.110	1.777	0.010	0.857	0.065	0.957	0.111	0.729
0.210	2.562	-0.017	0.922	0.038	0.849	0.065	0.605
0.310	3.543	-0.019	0.817	0.110	0.764	0.097	0.821
0.410	4.136	-0.010	0.872	0.082	0.865	0.098	0.700
0.510	4.729	-0.010	0.910	0.041	1.016	0.065	0.638
0.610	5.215	-0.040	0.937	0.016	1.050	0.049	0.615
0.710	5.420	-0.008	0.876	0.004	0.889	0.052	0.650
0.810	5.792	-0.009	0.817	0.027	0.703	0.082	0.760
0.910	6.164	-0.023	0.849	0.047	0.832	0.068	0.760
1.010	6.524	0.008	0.936	0.095	0.948	0.069	0.650
1.110	6.837	-0.036	0.950	0.006	0.990	0.049	0.648
1.210	7.149	0.002	0.827	0.019	0.836	0.074	0.680
1.310	7.462	-0.035	0.901	-0.017	0.898	0.071	0.675
1.410	7.800	-0.043	0.806	0.035	0.776	0.073	0.700
1.510	8.239	-0.003	0.760	0.029	0.827	0.082	0.747
1.610	8.674	-0.025	0.852	-0.026	0.800	0.092	0.710
1.710	9.086	-0.044	0.884	0.035	0.834	0.070	0.643
1.810	9.506	-0.040	0.750	0.043	0.663	0.082	0.739
1.910	9.958	-0.075	1.090	-0.050	0.993	0.065	1.306
2.010	10.410	-0.084	1.028	-0.004	1.105	0.055	1.329
2.110	10.889	-0.081	1.019	0.022	1.203	0.055	1.132
2.210	11.431	-0.071	1.081	0.002	1.030	0.088	1.047
2.310	11.789	-0.079	1.106	-0.021	1.148	0.076	0.955
2.410	12.113	-0.040	1.037	0.025	1.057	0.073	0.968
2.510	12.303	-0.009	1.015	0.046	1.020	0.069	1.306
2.610	12.492	-0.025	0.923	0.075	0.821	0.120	0.720
2.710	12.682	0.052	0.807	0.141	0.843	0.211	0.974
2.810	12.872	0.042	0.901	0.084	0.983	0.124	0.661
2.910	13.062	0.021	0.948	0.011	0.855	0.079	0.598
3.010	13.252	0.030	1.078	0.034	0.902	0.101	0.810
3.110	13.534	0.018	1.033	0.062	0.984	0.126	0.807
3.210	14.095	-0.041	1.187	0.009	1.254	0.081	1.024
3.310	14.657	0.014	1.122	0.022	1.003	0.126	1.016
3.370	14.993	0.015	1.020	0.104	1.004	0.084	1.306
3.410	15.218	-0.001	0.889	0.058	0.802	0.090	0.873
3.470	15.554	0.073	0.795	0.166	0.768	0.219	0.528
3.510	15.779	0.005	0.773	0.037	0.821	0.078	0.766
3.560	16.059	0.138	0.750	0.174	0.702	0.256	0.655
3.610	16.340	0.162	0.704	0.110	0.735	0.147	0.288
3.670	16.677	0.057	0.825	0.133	0.809	0.203	0.566
3.710	16.901	0.167	0.760	0.073	0.709	0.107	0.246
3.770	17.238	0.275	0.664	0.253	0.750	0.205	0.424
3.810	17.462	0.327	0.359	0.265	0.446	0.300	0.397
3.910	18.023	0.316	0.319	0.381	0.352	0.138	0.127
4.010	18.585	0.324	0.326	0.316	0.476	0.265	0.288
4.110	19.146	0.385	0.278	0.235	0.169	0.210	0.147
4.210	19.707	0.344	0.407	0.294	0.409	0.225	0.157
4.310	20.285	0.332	0.339	0.406	0.354	0.229	0.214
4.410	20.863	0.323	0.386	0.337	0.369	0.313	0.236
4.510	21.441	0.345	0.444	0.269	0.456	0.235	0.422
4.610	22.018	0.300	0.447	0.282	0.483	0.150	0.190
4.710	22.596	0.391	0.366	0.301	0.331	0.126	0.157
4.810	23.174	0.300	0.519	0.250	0.472	0.235	0.147
4.910	23.752	0.412	0.358	0.345	0.354	0.394	0.137
5.010	24.330	0.330	0.359	0.325	0.384	0.434	0.180
5.110	24.908	0.377	0.272	0.375	0.428	0.175	0.190
5.210	25.486	0.334	0.384	0.283	0.373	0.251	0.147
5.310	26.063	0.428	0.225	0.367	0.206	0.381	0.147
5.410	26.641	0.427	0.247	0.301	0.082	0.394	0.137
5.510	27.219	0.437	0.247	0.430	0.353	0.315	0.268
5.610	27.797	0.372	0.586	0.191	0.431	0.208	0.359
5.710	28.381	0.316	0.566	0.249	0.466	0.379	0.238
5.810	28.964	0.424	0.482	0.326	0.420	0.380	0.147
5.910	29.548	0.412	0.405	0.399	0.392	0.397	0.238
6.010	30.131	0.420	0.274	0.304	0.252	0.429	0.214
6.110	30.715	0.319	0.654	0.201	0.481	0.406	0.423
6.210	31.299	0.427	0.320	0.302	0.431	0.522	0.225
6.310	31.882	0.216	0.401	0.197	0.428	0.195	0.288
6.410	32.466	0.221	0.652	0.172	0.680	0.252	0.509
6.510	33.430	0.294	0.494	0.195	0.441	0.291	0.288
6.610	34.394	0.340	0.329	0.186	0.210	0.259	0.211
6.710	35.358	0.296	0.245	0.334	0.323	0.301	0.300
6.810	36.322	0.359	0.237	0.301	0.359	0.200	0.201
6.910	37.286	0.336	0.272	0.309	0.266	0.360	0.211
7.010	38.250	0.204	0.671	0.150	0.729	0.164	0.605
7.110	39.214	0.083	0.705	0.078	0.818	0.065	0.561
7.210	40.178	0.177	0.715	0.177	0.701	0.170	0.517
7.310	41.142	0.279	0.244	0.271	0.153	0.231	0.288
7.410	42.106	0.333	0.309	0.294	0.418	0.291	0.532
7.510	43.070	0.305	0.440	0.221	0.563	0.308	0.399
7.610	44.034	0.234	0.731	0.144	0.763	0.309	0.601
7.710	44.998	0.176	0.697	0.158	0.754	0.196	0.479
7.810	45.962	0.247	0.623	0.206	0.725	0.247	0.254
