Event	Depth sed [m]	A. curvatulus [%]	A. actinochilus [%]	A. hookeri [%]	A. hyalinus [%]	A. parvulus [%]	A. tabularis var. egregius [%]	A. tabularis [%]	A_tabularis_tot	Chaetoceros spp. veg [%]	Chaetoceros spp. rs [%]	Coscinodiscus spp. [%]	E. antarctica rs [%]	Fragilariopsis spp. [%]	F. kerguelensis [%]	F. obliquecostata [%]	F. sublinearis	F_obli_tot	F. ritscheri [%]	F. curta [%]	F. rhombica [%]	F. separanda [%]	F. pseudonana [%]	F. cylindrus [%]	H. cuneiformis [%]	Navicula spp. [%]	N. directa [%]	N. bicapitata [%]	N. sicula var. bicuneata [%]	N. sicula var. rostrata [%]	N_sicula_tot	O. weissflogii [%]	P-n heimii	P-n lineola-turgiduloides gr [%]	R. antennata f semispina [%]	R. bergonii [%]	Rhizosolenia sp. [%] (sp. A)	R. antennata [%]	R_antennata_tot	R. tesselata [%]	S. microtrias [%]	T. nitzschioides [%] (Form 1)	T. nitzschioides var. capitulata [%]	T. nitzschioides var. lanceolata [%]	T_nitzschioides_tot	T. antarctica [%]	T. gracilis var. expecta [%]	T. gracilis [%]	T. gravida [%]	T. lentiginosa [%]	T. oestrupii [%]	T. oliverana [%]	T. trifulta [%]	T. frenguelliopsis [%]	T. tumida [%]	Thalassiosira spp. [%]	P. pseudodenticulata [%]	P. directum [%]	T. antarctica [%]	T. reinboldii [%]	Delphineis spp. [%] (Species questionable)		Unid
PS58/274-1	0.85	0.25	0	0	0.38	0.13	0	1.02	1.02	0	3.17	0	0.25	0	71.45	0	0	0	0	0	0.25	4.95	0	0	0	0.63	0	0	0.63	0.25	0.88	0	0	0.13	0	0	0	0	0	0	0	0	0	0.25		0	0.25	5.33	0	6.47	0	0.13	0.38	0	0.25	1.02	0	0.13	2.28	0	0		0
PS58/274-1	0.95	0.33	0	0	0.16	0.16	0	1.14	1.14	0	4.4	0	0.98	0	74.92	0	0	0	0.16	0.16	0.16	1.3	0	0	0	0.81	0	0	0	0	0	0	0	0	0.16	0	0	0	0.16	0	0	0	0.16	1.3		0	0	1.3	0	8.79	0	0.16	0.33	0	0.16	0.33	0	0	2.44	0.16	0		0
PS58/274-1	1.05	0	0	0	0	0.38	0.19	1.91	2.1	0	4.58	0	0.57	0	74.24	0	0	0	0	0	0	1.15	0	0	0	0.19	0	0	0	0	0	0	0.1908397	0	0	0	0	0	0	0	0	0	1.34	1.15		0	0	1.53	0	8.97	0	0.19	0.19	0	0	0.95	0	0	2.29	0	0		0
PS58/274-1	1.15	0.46	0.15	0	0	0.46	0.31	1.84	2.15	0	4.61	0	1.38	0	73.73	0	0	0	0	0	0.31	0.92	0	0	0	0.31	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77	1.38		0	0	1.38	0	8.76	0	0.15	0.61	0	0	0.46	0	0	1.84	0	0		0
PS58/274-1	1.25	0.14	0.14	0	0	0.14	0	0.97	0.97	0	12.52	0	0.56	0	68.29	0	0	0	0	0	0.56	0.97	0	0	0	0.14	0	0	0.14	0	0.14	0	0	0.14	0	0	0	0	0	0	0	0	0.83	0.83		0	0	1.39	0	9.18	0	0.14	0.7	0	0	0.42	0	0	1.81	0	0		0
PS58/274-1	1.35	0	0.13	0	0	0	0	0.79	0.79	0.26	2.65	0	1.46	0	79.47	0	0	0	0	0.4	0.13	0.53	0	0	0	0.26	0	0	0	0	0	0	0.1324503	0	0	0	0.13	0	0	0	0	0	0.13	0.79		0	0	1.85	0	7.81	0	0.93	0.26	0	0	0.26	0	0	1.59	0	0		0
PS58/274-1	1.45	0.67	0	0	0	0	0.22	0.89	1.11	0	4.92	0	1.79	0	72.26	0	0	0	0	0	0	0.67	0	0	0	0.22	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0.22	0	0	0.22	0.45		0	0	0.67	0	11.63	0	1.12	0.22	0	0	0.45	0	0	3.13	0	0		0
PS58/274-1	1.55	0.38	0	0	0	0	0.19	0.96	1.15	0	10.71	0	0.57	0	66.54	0	0	0	0	0	0.19	0.76	0	0	0	0.19	0	0	0	0	0	0	0.1912046	0.19	0.19	0	0	0	0.19	0	0	0	0.38	0.76		0	0.19	0.96	0	12.05	0.19	0.38	0	0	0	0.57	0	0	3.44	0	0		0
PS58/274-1	1.65	0.34	0	0.17	0	0.51	0	1.53	1.53	0	11.54	0	1.53	0	68.76	0	0	0	0.17	0.34	0.34	1.36	0	0	0	0.34	0	0	0	0.17	0.17	0	0	0	0	0	0	0	0	0	0	0	0.17	0.17		0	0	1.36	0	8.49	0.17	0.17	0.17	0	0.17	0.34	0	0	1.36	0.17	0.17		0.17
PS58/274-1	1.75	0.15	0	0	0	0.44	0	0.88	0.88	0	8.8	0	1.32	0	73.17	0	0	0	0	0.29	0	1.47	0	0	0	1.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	1.03		0	0	1.61	0	6.45	0.15	0.29	0.44	0	0.29	0.15	0	0	1.47	0	0		0
PS58/274-1	1.85	0.23	0.23	0	0.23	0.23	0.69	3.22	3.91	0	5.98	0	0.46	0	67.13	0	0	0	0	0	0	0.69	0	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0.69		0	0	1.38	0.23	13.33	0	0.23	0.92	0	0	0.23	0	0	2.99	0	0		0
